Item,Title,csv
nottem,"Average Monthly Temperatures at Nottingham, 1920-1939",https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/nottem.csv
npk,"Classical N, P, K Factorial Experiment",https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/npk.csv
occupationalStatus,Occupational Status of Fathers and their Sons,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/occupationalStatus.csv
precip,Annual Precipitation in US Cities,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/precip.csv
presidents,Quarterly Approval Ratings of US Presidents,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/presidents.csv
pressure,Vapor Pressure of Mercury as a Function of Temperature,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/pressure.csv
quakes,Locations of Earthquakes off Fiji,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/quakes.csv
randu,Random Numbers from Congruential Generator RANDU,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/randu.csv
rivers,Lengths of Major North American Rivers,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/rivers.csv
rock,Measurements on Petroleum Rock Samples,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/rock.csv
sleep,Student's Sleep Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/sleep.csv
stackloss,Brownlee's Stack Loss Plant Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/stackloss.csv
sunspot.month,"Monthly Sunspot Data, from 1749 to ""Present""",https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/sunspot.month.csv
sunspot.year,"Yearly Sunspot Data, 1700-1988",https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/sunspot.year.csv
sunspots,"Monthly Sunspot Numbers, 1749-1983",https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/sunspots.csv
swiss,Swiss Fertility and Socioeconomic Indicators (1888) Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/swiss.csv
treering,"Yearly Treering Data, -6000-1979",https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/treering.csv
trees,"Girth, Height and Volume for Black Cherry Trees",https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/trees.csv
